course_name,level,cutoff_atar,award_type,provider,duration,field_of_education,campus
GRADUATE DIPLOMA IN COMPUTER SCIENCE,Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Computer Science,Footscray Park VIC
GRADUATE DIPLOMA IN COMPUTER SCIENCE,Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Computer Science,VU SYDNEY NSW
GRADUATE DIPLOMA IN COMPUTER SCIENCE,Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Computer Science,SYDNEY-ECA NSW
Graduate Diploma in Computing,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Computer Science,Camperdown NSW
Graduate Diploma in Construction Law,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,0.5 years,Law,PARKVILLE VIC
Graduate Diploma in Construction Practice,Postgraduate,,Graduate Diploma - new area,Bond University,1 year,Business & Management n.e.c.,Bond University QLD
GRADUATE DIPLOMA IN CONSULTANCY PSYCHOLOGY,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Psychology,MURDOCH WA
"Graduate Diploma in Corporate, Securities and Finance Law",Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.5 years,Law n.e.c.,Camperdown NSW
Graduate Diploma in Corporations and Securities Law,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,0.5 years,Law n.e.c.,PARKVILLE VIC
Graduate Diploma in Corrosion Engineering,Postgraduate,,Graduate Diploma - extending,Curtin University of Technology,1 year,Chemical Engineering,Bentley Campus WA
GRADUATE DIPLOMA IN COUNSELLING,Postgraduate,,Graduate Diploma - new area,Murdoch University,1 year,Counselling,MURDOCH WA
Graduate Diploma in Counselling,Postgraduate,,Graduate Diploma - new area,University of Western Sydney,1 year,Behavioural Sciences,PENRITH CAMPUS NSW
Graduate Diploma in Counselling (Child and Adolescent),Postgraduate,,Graduate Diploma - new area,Australian Catholic University,1 year,Counselling,STRATHFIELD NSW
Graduate Diploma in Counselling (M6I),Postgraduate,,Graduate Diploma - extending,University of Tasmania,1 year,Counselling,Hobart TAS
Graduate Diploma in Counselling for Health and Social Care,Postgraduate,,Graduate Diploma - extending,University of New England,1 year,Counselling,Distance Education
Graduate Diploma in Couples and Family Therapy,Postgraduate,,Graduate Diploma - new area,University of the Sunshine Coast,1 year,Counselling,Sippy Downs QLD
Graduate Diploma in Creative Arts (Creative Writing),Postgraduate,,Graduate Diploma - new area,Flinders University,1 year,Drama & Theatre Studies,Adelaide at Bedford Park SA
Graduate Diploma in Creative Arts (Drama),Postgraduate,,Graduate Diploma - new area,Flinders University,1 year,Drama & Theatre Studies,Adelaide at Bedford Park SA
Graduate Diploma in Creative Arts (Screen Production),Postgraduate,,Graduate Diploma - new area,Flinders University,1 year,Drama & Theatre Studies,Adelaide at Bedford Park SA
Graduate Diploma in Creative Practice,Postgraduate,,Graduate Diploma - extending,Curtin University of Technology,1 year,Communication & Media Studies n.e.c.,Bentley Campus WA
Graduate Diploma in Creative Writing,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Written Communication,Camperdown NSW
Graduate Diploma in Creative Writing,Postgraduate,,Graduate Diploma - new area,"University of Technology, Sydney",1 year,Written Communication,Broadway NSW
Graduate Diploma in Criminal Justice,Postgraduate,,Graduate Diploma - new area,The University of Western Australia,0.5 years,Criminal law,CRAWLEY WA
Graduate Diploma in Criminology,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.5 years,Criminal law,Camperdown NSW
Graduate Diploma in Cultural Studies,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Society & Culture n.e.c.,Camperdown NSW
Graduate Diploma in Curriculum Studies,Postgraduate,,Graduate Diploma - new area,The University of Western Australia,0.5 years,Curriculum & Education Studies,CRAWLEY WA
Graduate Diploma in Cyber Security,Postgraduate,,Graduate Diploma - new area,Curtin University of Technology,1 year,Security Science,Bentley Campus WA
Graduate Diploma in Data Science,Postgraduate,,Graduate Diploma - new area,University of South Australia,1 year,Information Systems,Mawson Lakes SA
Graduate Diploma in Dementia Studies,Postgraduate,,Graduate Diploma - new area,Edith Cowan University,1 year,Health,JOONDALUP WA
Graduate Diploma in Dementia Studies,Postgraduate,,Graduate Diploma - new area,Edith Cowan University,1 year,Health,DISTANCE EDUCATION
Graduate Diploma in Dental Public & Primary Health,Postgraduate,,Graduate Diploma - new area,The University of Western Australia,1 year,Dentistry,CRAWLEY WA
Graduate Diploma in Dental Sleep Medicine,Postgraduate,,Graduate Diploma - new area,The University of Western Australia,1 year,Medical Studies n.e.c.,CRAWLEY WA
Graduate Diploma in Dental Therapy,Postgraduate,,Graduate Diploma - new area,University of Newcastle,1 year,Dental Studies,OURIMBAH NSW
Graduate Diploma in Design (Display and Events),Postgraduate,,Graduate Diploma - new area,Edith Cowan University,1 year,Graphic Arts & Design Studies,MT LAWLEY WA
Graduate Diploma in Design Science (Audio and Acoustics),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Architecture & Urban Environment,Camperdown NSW
Graduate Diploma in Design Science (Building Services),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Building Science & Technology,Camperdown NSW
Graduate Diploma in Design Science (Illumination Design),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Interior & Environmental Design,Camperdown NSW
Graduate Diploma in Design Science (Sustainable Design),Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Architecture & Urban Environment n.e.c.,Camperdown NSW
Graduate Diploma in Development Studies,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Studies in Human Society,Camperdown NSW
Graduate Diploma in Diabetes,Postgraduate,,Graduate Diploma - new area,Curtin University of Technology,1 year,Medical Studies,Bentley Campus WA
Graduate Diploma in Diagnostic Pathology,Postgraduate,,Graduate Diploma - new area,University of Canberra,1 year,Chemical Sciences n.e.c.,Bruce ACT
Graduate Diploma in Digital Communication and Culture,Postgraduate,,Graduate Diploma - new area,The University of Sydney,0.8 years,Communication & Media Studies n.e.c.,Camperdown NSW
Graduate Diploma in Dispute Resolution,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,0.5 years,Law,PARKVILLE VIC
GRADUATE DIPLOMA IN EARLY CHILDHOOD CARE AND EDUCATION,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Teacher Education,MURDOCH WA
GRADUATE DIPLOMA IN EARLY CHILDHOOD CARE AND EDUCATION,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Teacher Education,Distance Education
GRADUATE DIPLOMA IN EARLY CHILDHOOD EDUCATION AND CARE,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Teacher Education,MURDOCH WA
GRADUATE DIPLOMA IN EARLY CHILDHOOD EDUCATION AND CARE,Postgraduate,,Graduate Diploma - extending,Murdoch University,1 year,Teacher Education,Distance Education
GRADUATE DIPLOMA IN EARLY CHILDHOOD TEACHING,Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Teacher Education: Early Childhood,Footscray Park VIC
GRADUATE DIPLOMA IN EARLY CHILDHOOD TEACHING,Postgraduate,,Graduate Diploma - new area,Victoria University,1 year,Teacher Education: Early Childhood,St Albans VIC
Graduate Diploma in e-Business Law,Postgraduate,,Graduate Diploma - new area,The University of Melbourne,1 year,Law n.e.c.,PARKVILLE VIC
Graduate Diploma in Economic Analysis,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Economics,Camperdown NSW
Graduate Diploma in Economic Studies,Postgraduate,,Graduate Diploma - new area,Monash University,1 year,Economics,CLAYTON VIC
Graduate Diploma in Economics,Postgraduate,,Graduate Diploma - new area,The Australian National University,0.7 years,Economics,Acton ACT
Graduate Diploma in Economics,Postgraduate,,Graduate Diploma - new area,The University of Sydney,1 year,Economics,Camperdown NSW
Graduate Diploma in Economics,Postgraduate,,Graduate Diploma - extending,The University of Western Australia,1 year,Economics & Econometrics,CRAWLEY WA
Graduate Diploma in Economics,Postgraduate,,Graduate Diploma - new area,University of New England,1 year,Economics,Armidale NSW
Graduate Diploma in Economics,Postgraduate,,Graduate Diploma - new area,University of New England,1 year,Economics,Distance Education
Graduate Diploma in Education,Postgraduate,,Graduate Diploma - new area,La Trobe University,1 year,Teacher Education: Secondary,BENDIGO VIC
Graduate Diploma in Education,Postgraduate,,Graduate Diploma - new area,Queensland University of Technology,1 year,Teacher Education,KELVIN GROVE QLD
Graduate Diploma in Education,Postgraduate,,Graduate Diploma - new area,Queensland University of Technology,1 year,Teacher Education,DISTANCE EDUCATION
Graduate Diploma in Education,Postgraduate,,Graduate Diploma - new area,The University of Western Australia,1.3 years,Teacher Education: Secondary,CRAWLEY WA
GRADUATE DIPLOMA IN EDUCATION - PRIMARY,Postgraduate,,Graduate Diploma - new area,Murdoch University,1.2 years,Teacher Education: Primary,MURDOCH WA
GRADUATE DIPLOMA IN EDUCATION - PRIMARY,Postgraduate,,Graduate Diploma - new area,Murdoch University,1.2 years,Teacher Education: Primary,Distance Education
GRADUATE DIPLOMA IN EDUCATION - SECONDARY,Postgraduate,,Graduate Diploma - new area,Murdoch University,1.2 years,Teacher Education: Secondary,MURDOCH WA
GRADUATE DIPLOMA IN EDUCATION - SECONDARY,Postgraduate,,Graduate Diploma - new area,Murdoch University,1.2 years,Teacher Education: Secondary,Distance Education
GRADUATE DIPLOMA IN EDUCATION - TERTIARY AND ADULT,Postgraduate,,Graduate Diploma - new area,Murdoch University,1 year,Teacher Education: Higher Education,Distance Education
Graduate Diploma in Education (Middle Years),Postgraduate,,Graduate Diploma - new area,La Trobe University,1 year,Teacher Education n.e.c.,SHEPPARTON VIC
Graduate Diploma in Education (Primary),Postgraduate,,Graduate Diploma - new area,La Trobe University,1 year,Teacher Education: Primary,BUNDOORA VIC
Bachelor of Business/Bachelor of Psychological Science,Undergraduate,65.80,Bachelor's Pass,Griffith University,4 years,"Business & Management n.e.c., Psychology",Nathan QLD
Bachelor of Business/Bachelor of Psychological Science,Undergraduate,65.80,Bachelor's Pass,Griffith University,4 years,"Business & Management n.e.c., Psychology",Mt Gravatt QLD
Bachelor of Business/Bachelor of Science,Undergraduate,55.95,Bachelor's Pass,University of the Sunshine Coast,4 years,"Natural & Physical Sciences n.e.c., Business Management",Sippy Downs QLD
Bachelor of Business/Bachelor of Science (Sport Management),Undergraduate,55.95,Bachelor's Pass,University of the Sunshine Coast,4 years,"Natural & Physical Sciences n.e.c., Business Management",Sippy Downs QLD
Bachelor of Business/Bachelor of Social Science,Undergraduate,N/A,Bachelor's Pass,Bond University,4 years,"Business & Management n.e.c., Psychology",Bond University QLD
Bachelor of Business/Bachelor of Teaching,Undergraduate,77.10,Bachelor's Pass,University of New England,4 years,"Business & Management, Teacher Education: Secondary",Armidale NSW
Bachelor of Business/Bachelor of Teaching,Undergraduate,77.10,Bachelor's Pass,University of New England,4 years,"Business & Management, Teacher Education: Secondary",Distance Education
Bachelor of Business-Bachelor of Laws,Undergraduate,65.00,Bachelor's Pass,James Cook University,5 years,"Business Management, Law",Townsville QLD
Bachelor of Business-Bachelor of Laws,Undergraduate,65.00,Bachelor's Pass,James Cook University,5 years,"Business Management, Law",Cairns QLD
Bachelor of Business-Bachelor of Psychology,Undergraduate,70.00,Bachelor's Pass,James Cook University,5 years,"Business Management, Psychology",Townsville QLD
Bachelor of Business-Bachelor of Psychology,Undergraduate,70.00,Bachelor's Pass,James Cook University,5 years,"Business Management, Psychology",Cairns QLD
Bachelor of Ceramics,Undergraduate,N/A,Bachelor's Pass,University of New South Wales,3 years,Materials Engineering,Sydney NSW
Bachelor of Chemical Eng/Biomedical Eng,Undergraduate,91.05,Bachelor's Pass,University of New South Wales,5 years,"Chemical Engineering, Biomedical Engineering",Sydney NSW
Bachelor of Chemical Eng/Science,Undergraduate,91.05,Bachelor's Pass,University of New South Wales,5 years,"Chemical Engineering, Computer Science",Sydney NSW
Bachelor of Chemical Engineering,Undergraduate,91.45,Bachelor's Pass,University of New South Wales,4 years,Chemical Engineering,Sydney NSW
Bachelor of Chemical Engineering,Undergraduate,N/A,Bachelor's Pass,University of New South Wales,4 years,Chemical Engineering,Sydney NSW
Bachelor of Chemical Engineering/Arts,Undergraduate,N/A,Bachelor's Pass,University of New South Wales,5 years,"Chemical Engineering, Other Society & Culture",Sydney NSW
Bachelor of Chemical Science with Honours,Undergraduate,N/A,Bachelor's Honours,La Trobe University,1 year,Chemical Sciences,BUNDOORA VIC
Bachelor of Child and Family Studies,Undergraduate,63.00,Bachelor's Pass,Griffith University,3 years,Human Welfare Studies & Services,Logan QLD
Bachelor of Child and Family Studies/Bachelor of Education - Primary,Undergraduate,68.45,Bachelor's Pass,Griffith University,4.5 years,"Human Welfare Studies & Services, Teacher Education: Primary",Logan QLD
BACHELOR OF CHILDREN'S SERVICES,Undergraduate,N/A,Bachelor's Pass,Charles Darwin University,1 year,Children's Services,CASUARINA NT
BACHELOR OF CHILDREN'S SERVICES,Undergraduate,N/A,Bachelor's Pass,Charles Darwin University,1 year,Children's Services,DISTANCE EDUCATION
Bachelor of Children's Services,Undergraduate,N/A,Associate Degree,Federation University Australia,1 year,Public & Health Care Administration,Mt Helen VIC
